board_id,platform,company,url,fail_count,fail_reason,last_checked
greenhouse:aiserajobs,greenhouse,aiserajobs,https://boards.greenhouse.io/aiserajobs,0,HTTP 404,2026-07-08T09:11:17.294906+00:00
greenhouse:altisales,greenhouse,altisales,https://boards.greenhouse.io/altisales,0,HTTP 404,2026-07-08T09:11:18.378568+00:00
greenhouse:bluecoreinc,greenhouse,bluecoreinc,https://boards.greenhouse.io/bluecoreinc,2,HTTP 404,2026-07-14T22:36:48.473088+00:00
greenhouse:burnt,greenhouse,burnt,https://boards.greenhouse.io/burnt,0,HTTP 404,2026-07-08T14:59:32.817087+00:00
greenhouse:cadencesolutions,greenhouse,cadencesolutions,https://boards.greenhouse.io/cadencesolutions,2,HTTP 404,2026-07-15T03:47:31.186416+00:00
greenhouse:campusopportunities,greenhouse,campusopportunities,https://boards.greenhouse.io/campusopportunities,1,HTTP 404,2026-07-11T22:28:55.506876+00:00
greenhouse:cobo,greenhouse,cobo,https://boards.greenhouse.io/cobo,0,HTTP 404,2026-07-08T17:05:30.547013+00:00
greenhouse:corescientific,greenhouse,corescientific,https://boards.greenhouse.io/corescientific,0,HTTP 404,2026-07-08T17:05:35.195559+00:00
greenhouse:cytokinetics,greenhouse,cytokinetics,https://boards.greenhouse.io/cytokinetics,0,HTTP 404,2026-07-08T17:05:38.686218+00:00
greenhouse:digitalai,greenhouse,digitalai,https://boards.greenhouse.io/digitalai,1,HTTP 404,2026-07-12T04:17:23.398639+00:00
greenhouse:fal,greenhouse,fal,https://boards.greenhouse.io/fal,1,HTTP 404,2026-07-12T08:52:52.488129+00:00
greenhouse:glide,greenhouse,glide,https://boards.greenhouse.io/glide,1,HTTP 404,2026-07-15T14:24:35.051434+00:00
greenhouse:hiddenroad,greenhouse,hiddenroad,https://boards.greenhouse.io/hiddenroad,0,HTTP 404,2026-07-09T04:36:37.746915+00:00
greenhouse:homewardhealth,greenhouse,homewardhealth,https://boards.greenhouse.io/homewardhealth,1,HTTP 404,2026-07-12T14:11:45.948858+00:00
greenhouse:hyperheat,greenhouse,hyperheat,https://boards.greenhouse.io/hyperheat,0,HTTP 404,2026-07-09T04:36:39.110356+00:00
greenhouse:liquidinstruments,greenhouse,liquidinstruments,https://boards.greenhouse.io/liquidinstruments,0,HTTP 404,2026-07-09T10:06:54.570164+00:00
greenhouse:logiwacareers,greenhouse,logiwacareers,https://boards.greenhouse.io/logiwacareers,0,HTTP 404,2026-07-09T10:06:54.738879+00:00
greenhouse:mgtinsurance,greenhouse,mgtinsurance,https://boards.greenhouse.io/mgtinsurance,1,HTTP 404,2026-07-12T19:47:13.403454+00:00
greenhouse:momence,greenhouse,momence,https://boards.greenhouse.io/momence,0,HTTP 404,2026-07-09T15:45:35.728816+00:00
greenhouse:multivista,greenhouse,multivista,https://boards.greenhouse.io/multivista,0,HTTP 404,2026-07-09T15:45:38.587941+00:00
greenhouse:ntx,greenhouse,ntx,https://boards.greenhouse.io/ntx,0,HTTP 404,2026-07-09T20:28:00.124509+00:00
greenhouse:paloit,greenhouse,paloit,https://boards.greenhouse.io/paloit,0,HTTP 404,2026-07-09T20:28:03.409147+00:00
greenhouse:partnerstack,greenhouse,partnerstack,https://boards.greenhouse.io/partnerstack,0,HTTP 404,2026-07-09T20:28:03.800847+00:00
greenhouse:paystack,greenhouse,paystack,https://boards.greenhouse.io/paystack,0,HTTP 404,2026-07-09T20:28:04.019102+00:00
greenhouse:rxvantage,greenhouse,rxvantage,https://boards.greenhouse.io/rxvantage,0,HTTP 404,2026-07-10T04:38:26.320597+00:00
greenhouse:seamlessai,greenhouse,seamlessai,https://boards.greenhouse.io/seamlessai,0,HTTP 404,2026-07-10T04:38:26.792107+00:00
greenhouse:selkirksport,greenhouse,selkirksport,https://boards.greenhouse.io/selkirksport,0,HTTP 404,2026-07-10T04:38:26.986172+00:00
greenhouse:seniordoc,greenhouse,seniordoc,https://boards.greenhouse.io/seniordoc,0,HTTP 404,2026-07-10T04:38:27.028113+00:00
greenhouse:sourcepassinc,greenhouse,sourcepassinc,https://boards.greenhouse.io/sourcepassinc,0,HTTP 404,2026-07-10T10:03:59.084301+00:00
greenhouse:tmg,greenhouse,tmg,https://boards.greenhouse.io/tmg,0,HTTP 404,2026-07-10T15:17:54.316128+00:00
greenhouse:withumsmithbrown,greenhouse,withumsmithbrown,https://boards.greenhouse.io/withumsmithbrown,0,HTTP 404,2026-07-10T17:24:36.481528+00:00
greenhouse:zscalerredcanary,greenhouse,zscalerredcanary,https://boards.greenhouse.io/zscalerredcanary,0,HTTP 404,2026-07-10T17:24:39.235011+00:00
lever:digimarc,lever,digimarc,https://jobs.lever.co/digimarc,0,HTTP 404,2026-07-10T22:38:09.095509+00:00
lever:livechatinc,lever,livechatinc,https://jobs.lever.co/livechatinc,0,HTTP 404,2026-07-11T03:55:57.858523+00:00
lever:novatalent,lever,novatalent,https://jobs.lever.co/novatalent,0,HTTP 404,2026-07-11T08:25:36.561711+00:00
lever:rw1,lever,rw1,https://jobs.lever.co/rw1,0,HTTP 404,2026-07-11T10:44:51.438841+00:00
lever:stuart,lever,stuart,https://jobs.lever.co/stuart,0,HTTP 404,2026-07-11T10:44:54.076263+00:00
lever:super-com,lever,super-com,https://jobs.lever.co/super-com,0,HTTP 404,2026-07-11T10:44:54.257483+00:00
lever:zurigroup,lever,zurigroup,https://jobs.lever.co/zurigroup,0,HTTP 404,2026-07-11T14:07:36.638206+00:00
